id,category,category_num,degree,menu_name,price,info,cinnamon,whip,strong_or_weak,syrup_add,light_vanilia_add,stevia_changed,stevia_add,honey_add,choose_milk,choose_topping,zero_cider_changed
71,음료,14,HOT,핫초코,3500,부드러운 우유에 진한 초코소스가 어우러져 달콤하게 입맛을 깨우는 초콜릿 음료.,0,0,0,0,0,0,0,"1,15","1,13,14",0,0
72,음료,15,HOT,메가초코,3800,"부드러운 우유에 진한 초코소스, 달콤한 휘핑크림의 삼박자 조화로 완성한 달콤 초코 음료.",0,0,0,0,0,0,0,"1,15","1,13,14",0,0
73,음료,16,HOT,로얄밀크티라떼,3700,향긋한 녹차에 우유를 더해 입 안에 부드러운 푸릇함을 선물하는 라떼.,0,0,0,0,0,0,0,"1,15","1,13,14",0,0
74,음료,17,HOT,녹차라떼,3500,향긋한 녹차에 우유를 더해 입 안에 부드러운 푸릇함을 선물하는 라떼.,0,0,0,0,0,0,0,"1,15","1,13,14",0,0
75,음료,18,HOT,고구마라떼,3500,달콤하고 고소한 고구마와 부드러운 우유가 만나 누구나 즐기기 좋은 든든한 라떼.,0,0,0,0,0,"1,11",0,"1,15","1,13,14",0,0
76,음료,19,HOT,곡물라떼,3000,우유에 곡물을 더해 고소하고 든든하게 즐기는 라떼.,0,0,0,0,0,"1,11",0,"1,15","1,13,14",0,0
77,음료,20,HOT,토피넛라떼,3800,은은하게 퍼지는 카라멜의 달달한 향기와 견과의 고소함을 한입에 즐길 수 있는 라떼.,0,0,"1,2,3,4,5",0,0,0,0,"1,15","1,13,14",0,0
78,커피(콜드브루),1,HOT,콜드브루오리지널,3500,차가운 물에 장시간 우려내 깔끔한 목넘김을 느낄 수 있는 콜드브루.,0,0,"1,2","1,9",0,0,0,"1,15",0,0,0
79,커피(콜드브루),2,HOT,콜드브루라떼,4000,"콜드브루에 고소한 우유를 섞어, 깔끔함과 부드러움을 잡은 라떼.",0,0,"1,2","1,9",0,0,0,"1,15","1,13,14",0,0
80,커피(콜드브루),3,ICE,콜드브루오리지널,3500,차가운 물에 장시간 우려내 깔끔한 목넘김을 느낄 수 있는 콜드브루.,0,0,"1,2","1,9",0,0,0,"1,15",0,0,0
81,커피(콜드브루),4,ICE,콜드브루라떼,4000,"콜드브루에 고소한 우유를 섞어, 깔끔함과 부드러움을 잡은 라떼.",0,0,"1,2","1,9",0,0,0,"1,15","1,13,14",0,0
