id,menu_name,img_path
76,곡물라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_곡물라떼.jpg
77,토피넛라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_토피넛라떼.jpg
78,콜드브루오리지널,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_콜드브루오리지널.jpg
79,콜드브루라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_콜드브루라떼.jpg
80,콜드브루오리지널,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_콜드브루오리지널.jpg
81,콜드브루라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_콜드브루라떼.jpg
82,콜드브루 디카페인,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_콜드브루디카페인.jpg
83,콜드브루 디카페인,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_콜드브루디카페인.jpg
84,콜드브루 디카페인라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_콜드브루디카페인라떼.jpg
85,콜드브루 디카페인라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_콜드브루디카페인라떼.jpg
86,아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_아메리카노.jpg
87,꿀아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_꿀아메리카노.jpg
88,헤이즐넛아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_헤이즐넛아메리카노.jpg
89,바닐라아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_바닐라아메리카노.jpg
90,카페라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_카페라떼.jpg
91,바닐라라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_바닐라라떼.jpg
92,연유라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_연유라떼.jpg
93,카라멜마끼야또,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_카라멜마끼아또.jpg
94,카페모카,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_카페모카.jpg
95,카푸치노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_카푸치노.jpg
96,헤이즐넛라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_헤이즐넛라떼.jpg
97,티라미수라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_티라미수라떼.jpg
98,메가리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_메가리카노.jpg
